Country,Assembly,C,Csharp,Cplusplus,CoffeeScript,Common_Lisp,Elixir,Erlang,Groovy,Haskell,Hack,Java,JavaScript,MatLab,NA,ObjectiveC,PHP,Perl,Python,R,Rust,SQL,Swift,TypeScript,VBNET,VisualBasic6,VBA
Afghanistan,5,12,5,5,0,2,8,0,2,0,2,4,7,0,46,2,4,0,2,8,1,5,1,1,3,4,0
Aland Island,1,6,1,2,2,1,1,2,2,1,2,4,2,1,16,1,2,1,1,4,1,2,2,4,4,1,3
Albania,2,37,15,11,3,0,0,0,0,0,0,26,1,38,2,20,0,5,28,0,26,1,0,1,1,0,
Algeria,2,16,4,6,1,0,0,2,0,0,0,13,9,3,23,0,4,1,5,10,0,7,0,1,0,2,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Angola,1,0,1,0,0,1,1,0,0,0,0,0,1,0,8,0,1,0,0,0,0,1,0,0,0,0,0
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Antartica,1,7,2,2,0,1,1,0,0,1,0,6,6,0,3,1,1,0,4,7,1,3,0,0,0,0,0
Antigua and Barbuda,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0
Argentina,6,143,51,24,4,0,5,1,7,3,1,136,121,4,88,4,54,3,39,124,0,91,4,12,8,9,4
Armenia,1,26,7,8,0,0,0,1,0,0,0,22,18,0,20,6,10,2,6,20,0,13,5,4,0,1,1
Aruba,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Austalia,28,624,298,126,27,4,11,1,23,13,2,295,476,20,196,45,177,31,211,535,12,384,58,91,47,18,37
Austria,21,324,298,96,8,2,3,2,17,9,0,295,224,29,113,20,115,16,83,252,3,207,17,47,11,4,21
Azerbaidjan,3,10,8,3,0,1,0,0,0,0,0,8,6,0,13,1,9,1,4,9,1,9,2,1,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,5,2,0,0,0,0,0,0,0,0,5,5,0,7,0,3,0,0,5,0,3,1,0,1,0,0
Bangladesh,10,96,28,25,1,0,0,0,2,0,1,100,73,6,70,6,63,1,27,74,0,54,6,8,6,5,1
Barbados,0,1,2,1,0,0,0,0,0,0,0,1,2,0,1,1,2,2,0,0,0,1,1,8,1,0,0
Belarus,1,44,14,12,2,0,1,1,1,1,0,43,32,0,36,2,9,2,13,37,2,16,2,4,1,1,1
Belgium,14,271,131,52,10,1,4,2,13,6,0,245,211,17,94,17,99,9,85,229,4,165,20,41,31,7,18
Belize,0,2,0,2,0,0,0,0,0,0,0,3,3,0,1,0,2,0,1,1,0,2,0,0,1,0,0
Benin,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,2,0,0,2,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
Bolivia,1,15,7,3,1,0,1,0,1,0,0,13,10,0,8,3,9,0,3,12,0,9,3,1,3,3,2
Bosnia-Herzegovina,3,40,23,13,4,0,1,0,0,0,0,40,31,0,21,1,22,0,8,32,1,30,1,12,5,0,3
Botswana,0,0,1,0,0,0,0,0,0,0,0,2,2,1,3,0,2,0,1,0,0,1,2,1,0,0,0
Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,28,470,173,111,19,2,7,3,21,7,0,436,361,20,232,30,161,15,164,399,5,267,27,41,32,18,20
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,9,167,68,38,4,0,3,1,3,3,0,157,126,4,66,13,54,5,36,131,1,98,5,20,10,6,6
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,7,1,1,0,0,0,0,0,0,0,7,6,0,12,2,3,0,0,6,0,3,1,1,4,1,4
Cameroon,1,7,2,3,0,0,0,0,0,1,0,7,5,1,3,0,4,0,1,5,0,5,0,2,1,0,1
Canada,86,1503,647,407,70,9,16,10,63,29,3,1287,1104,59,546,114,424,93,620,1233,21,872,130,176,135,52,96
Cape Verde,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
Cayman Islands,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,1,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,1,67,20,11,3,0,1,0,3,1,0,60,47,2,30,2,29,4,34,56,0,45,10,2,6,4,4
Chiina,11,126,29,48,5,2,0,1,2,4,0,106,78,14,96,8,25,1,51,83,1,53,7,8,0,1,4
Colombia,2,90,33,12,5,1,2,1,6,4,1,88,79,6,46,10,31,1,22,87,1,46,9,16,6,2,2
Comoros,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
Costa Rica,3,39,18,9,2,1,0,0,1,0,0,37,33,3,11,4,13,2,19,37,0,28,5,9,7,0,0
Croatia,6,106,48,28,2,1,2,2,4,2,0,102,82,3,45,9,37,1,40,88,3,60,10,10,2,4,4
Cuba,1,21,7,5,0,1,0,0,0,1,0,17,16,1,10,1,10,0,7,16,0,8,2,0,0,0,0
Cyprus,0,17,7,4,1,0,0,0,0,0,0,13,13,0,10,3,11,0,3,13,0,12,2,2,0,1,1
Czech Republic,14,258,116,87,9,1,1,1,13,6,3,210,155,16,106,13,82,17,95,183,6,147,15,26,9,3,11
Denmark,4,196,114,38,6,1,3,1,2,4,1,164,147,10,78,12,58,8,62,166,1,119,17,36,3,1,11
Djibouti,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,44,29,8,1,0,0,0,1,0,0,39,34,1,19,0,12,1,11,37,0,27,4,11,5,2,1
Ecuador,0,15,4,3,1,0,0,0,0,3,0,15,11,2,15,2,7,0,8,13,0,8,2,2,0,0,0
Egypt,4,71,28,20,2,0,0,0,1,0,0,65,52,8,51,8,36,0,27,55,1,39,6,4,8,3,0
El Savador,0,12,4,1,0,0,0,0,0,0,0,12,10,0,7,0,6,0,7,10,0,10,0,0,2,0,0
Eritrea,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Estonia,4,70,21,12,4,1,1,1,5,1,0,68,60,3,18,0,20,5,25,64,0,46,3,14,4,3,3
Ethiopia,2,14,6,5,0,1,0,0,3,0,0,12,5,0,20,0,12,0,4,7,0,8,1,1,5,6,1
Falkland Islands,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fiji,0,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,0,0,1,0,0,2,1,1
Finland,8,196,75,44,10,0,3,1,7,2,0,179,156,1,65,10,64,9,92,167,5,101,11,18,6,2,3
France,82,1101,310,342,51,18,14,12,47,18,6,960,807,47,509,66,439,70,437,909,12,631,66,129,45,18,54
Gabon,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
Georgia,1,27,13,8,2,1,0,1,1,2,0,24,22,0,16,3,12,1,4,22,1,18,2,6,0,0,0
Germany,182,2664,953,868,98,25,30,20,120,81,5,2327,1770,146,1062,182,937,154,947,2029,54,1450,197,295,130,71,154
Ghana,0,23,6,3,0,0,0,0,1,0,5,27,19,2,22,1,11,0,17,21,0,15,3,5,3,1,2
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Greece,18,195,70,52,4,3,1,1,3,5,0,176,135,15,75,5,79,12,79,153,2,125,3,21,17,9,8
Guam,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Guatemala,0,19,11,4,1,0,1,0,0,0,0,20,15,1,14,1,8,1,6,17,0,14,4,3,5,1,1
Guinea,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Guyana,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0
Honduras,0,6,4,3,0,0,0,0,0,0,0,5,2,0,5,0,0,0,0,3,0,3,1,1,0,0,0
Hong Kong,5,72,21,20,4,0,0,0,2,2,0,65,57,4,42,13,32,4,26,58,1,47,16,10,5,2,8
Hungary,14,222,97,65,11,1,2,4,9,3,0,199,151,11,75,13,75,13,61,177,1,134,9,36,8,4,13
I prefer not to say ,7,58,19,28,0,0,1,1,0,2,0,43,31,8,68,3,23,6,28,39,2,27,3,2,7,4,1
Iceland,0,21,12,7,2,0,0,0,0,0,1,18,15,2,10,2,2,0,5,17,0,12,5,3,0,0,0
India,167,2324,658,694,34,13,12,10,46,18,6,2205,1580,107,2332,186,885,61,735,1751,8,1373,144,158,150,115,69
Indonesia,3,145,53,41,5,0,4,0,2,3,1,136,114,5,115,4,104,5,39,119,1,98,8,8,22,13,7
Iran,31,260,147,116,5,3,0,5,3,0,7,230,167,33,205,18,114,7,96,180,3,150,24,26,14,13,6
Iraq,0,3,3,0,0,0,0,0,0,1,0,5,3,0,6,1,2,0,0,3,0,3,1,0,1,1,0
Ireland,10,231,89,32,9,2,2,3,8,8,1,219,174,10,73,14,54,12,92,191,1,143,13,27,15,5,5
Israel,22,345,143,85,20,4,3,5,19,6,2,324,246,21,175,25,65,11,156,281,3,187,21,52,10,5,8
Italy,35,495,164,126,19,3,4,7,11,8,0,463,376,24,215,51,217,13,158,398,6,313,38,39,46,27,20
Jamaica,1,11,7,2,1,0,1,1,0,0,0,8,8,1,7,1,5,1,4,9,0,6,2,1,4,0,1
Japan,9,134,41,44,7,1,4,2,7,4,1,118,91,11,91,21,43,10,78,101,5,68,19,20,4,2,3
Jordan,1,26,15,6,0,0,0,0,0,0,0,23,19,2,13,3,10,0,3,19,0,20,2,2,7,3,1
Kazakhstan,1,16,5,5,2,0,0,0,0,1,0,17,14,1,16,1,8,0,6,15,0,9,1,1,2,2,1
Kenya,1,51,13,9,3,0,0,0,0,0,0,45,40,0,33,3,34,2,25,42,0,33,1,5,5,6,2
Kuwait,0,4,3,1,0,1,0,0,0,0,0,4,4,0,6,0,1,0,1,4,0,6,0,2,1,0,0
Kyrgyzstan,0,4,3,1,0,0,0,0,0,0,0,5,2,0,4,0,1,0,1,2,0,2,2,0,0,0,0
Laos,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1
Latvia,3,69,25,12,5,0,1,0,3,0,0,65,53,2,21,2,31,3,14,58,1,51,2,8,2,4,6
Lebanon,3,33,17,6,1,1,0,0,1,0,0,28,18,0,18,2,16,3,4,21,0,27,3,3,11,6,6
Lesotho,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,0,1,1,1,0,0,0,0,0,0,0,1,1,1,,0,1,0,1,0,0,1,0,0,1,0,0
Lithuania,3,116,54,27,3,0,0,1,4,1,0,93,83,6,48,7,47,3,36,89,0,61,3,10,1,1,4
Luxembourg,4,25,11,6,3,1,1,2,1,1,1,24,20,2,5,2,12,1,11,20,2,19,1,3,3,2,5
Macau,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0
Macedonia,0,34,20,8,1,2,0,0,1,0,0,37,30,0,14,6,10,0,8,31,0,25,5,5,4,1,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Madagascar,1,1,2,0,0,0,0,0,0,0,0,1,3,0,21,0,0,2,1,0,0,3,0,1,0,0,0
Malaysia,10,113,44,33,6,2,2,2,3,0,2,106,92,7,67,10,52,4,27,99,1,68,6,8,19,10,4
Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Malta,0,24,18,2,0,0,0,0,0,1,0,21,16,1,20,1,8,1,5,17,0,18,0,6,2,0,0
Mauritius,0,6,3,1,0,0,0,0,0,0,0,7,4,0,8,0,2,0,1,4,0,3,0,0,2,0,0
Mexico,11,214,87,43,4,3,1,1,7,4,0,188,170,5,115,15,79,10,70,187,0,141,24,14,22,4,11
Moldavia,4,39,11,10,4,0,1,0,2,1,0,36,27,2,16,6,13,1,12,30,0,19,6,7,0,0,0
Monaco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,0,11,5,2,0,1,0,0,0,0,0,10,10,0,11,1,7,0,1,10,0,9,0,0,1,0,0
Montenegro,2,9,5,4,0,1,0,0,1,0,0,6,5,1,2,1,4,0,3,6,0,5,0,0,2,0,3
Montserrat,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,3,30,10,10,2,0,1,0,0,1,0,30,25,1,28,1,25,0,9,25,1,26,1,2,3,2,4
Mozambique,0,7,4,1,0,0,0,0,0,0,0,7,6,0,1,0,2,0,2,6,0,5,0,0,2,1,0
Myanmar,1,14,4,2,0,0,0,0,0,0,0,17,11,0,14,0,6,0,3,11,0,12,0,1,3,2,0
Namibia,0,1,3,1,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,4,0,1,0,0,0
Nepal,1,70,23,24,4,2,1,0,1,1,0,67,58,1,39,6,46,3,16,62,0,44,8,5,7,7,2
Netherlands,21,562,254,126,23,5,8,5,23,24,2,498,416,30,204,50,237,24,214,477,11,351,41,88,28,7,24
Netherlands Antilles,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,2,0,0,0
New Caledonia (French),0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,3,0,2,0,1,3,0,0,0,0,0
New Zealand,5,172,82,27,11,0,3,1,5,2,2,153,132,8,53,14,40,9,62,143,3,101,13,21,10,3,6
Nicaragua,0,1,0,0,1,0,0,0,0,0,0,1,4,0,9,0,2,0,2,0,0,4,0,0,0,0,0
Niger,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
Nigeria,6,89,34,12,4,1,2,1,1,2,1,94,71,7,59,2,67,3,31,75,1,65,7,13,12,11,8
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,1,0,0
Norway,9,161,72,31,6,1,4,2,5,4,0,137,115,7,71,9,48,7,53,128,5,91,11,13,8,1,5
Oman,1,0,1,1,0,0,0,0,0,0,0,1,3,0,1,0,2,0,1,0,0,3,0,1,0,0,0
Pakistan,29,229,109,75,6,1,1,0,5,1,0,206,161,16,177,21,133,4,47,176,0,134,14,11,22,10,3
Panama,0,16,8,4,1,0,0,0,0,0,0,16,13,0,4,3,8,0,6,13,0,13,1,1,2,1,1
Paraguay,0,14,3,2,1,0,0,0,0,0,0,16,13,1,5,2,10,0,4,14,0,11,2,1,1,1,0
Peru,1,44,15,12,4,1,1,2,1,0,0,39,33,5,18,2,15,1,21,35,0,29,2,4,8,8,5
Philippines,14,165,63,39,7,1,2,1,5,3,2,164,134,3,135,16,92,8,49,135,1,119,15,13,33,21,10
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Poland,44,819,292,228,45,9,13,11,49,19,1,716,563,42,333,50,230,29,292,632,8,439,48,100,19,8,30
Polynesia (French,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
Portugal,9,160,70,34,1,0,3,5,4,4,0,150,126,10,91,7,58,5,49,134,3,112,8,19,13,4,8
Puerto Rico,0,9,5,2,0,0,0,0,1,1,0,9,8,1,10,1,1,0,4,8,0,8,1,0,2,0,1
Qatar,0,2,3,0,0,0,0,0,0,0,0,2,2,3,4,1,1,0,1,0,0,3,0,0,0,0,0
Reunion (French),0,2,3,0,0,0,0,0,0,0,0,2,3,0,1,0,1,0,1,0,0,1,0,0,1,1,1
Romania,27,367,155,113,8,4,2,1,8,8,1,320,261,22,145,26,138,14,89,277,4,212,29,43,15,10,8
Russian Federation,21,503,171,149,29,1,8,9,23,15,0,404,313,13,266,36,134,19,204,364,10,263,32,56,17,7,20
Rwanda,1,2,1,2,0,0,0,0,0,1,0,3,3,1,5,0,3,0,2,0,0,3,1,0,2,1,0
S. Georgia & S. Sandwich IsIs.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent & Grenadines,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Saudi Arabia,1,28,16,10,1,0,0,0,1,0,0,27,21,4,22,3,13,0,12,22,0,22,8,2,6,2,1
Senegal,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,0,1,0,0,2,0,0,0,0,0
Serbia,9,131,53,28,1,1,0,1,8,4,0,127,92,8,73,6,51,1,29,102,1,82,8,17,3,2,2
Singapore,6,103,31,32,5,3,4,0,5,5,0,96,70,6,61,18,35,6,44,79,1,60,14,7,3,2,8
Slovak Republic,13,103,34,36,6,0,0,0,3,4,0,89,71,8,52,7,53,4,34,76,0,66,9,16,5,2,2
Slovenia,6,211,72,49,10,3,3,1,9,6,0,196,165,22,68,15,99,10,91,183,1,138,13,32,10,2,7
Somalia,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,1,0,0,1,0,0
South Africa,18,244,143,50,10,1,2,2,5,1,0,222,182,6,100,14,81,7,64,200,3,176,10,44,28,9,16
South Korea,2,69,19,32,3,2,1,1,2,1,1,57,40,6,85,6,15,1,33,45,0,26,3,0,2,2,1
Spain,28,496,141,112,20,2,2,3,19,14,0,481,390,26,260,34,194,25,197,433,6,308,29,52,35,25,23
Sri Lanka,5,92,37,25,0,0,1,4,2,0,0,99,73,4,61,7,44,1,29,77,0,64,5,6,9,8,2
Sudan,1,2,2,2,0,0,0,0,0,0,0,4,2,0,7,1,2,0,2,0,0,2,1,0,1,2,0
Suriname,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0
Swaziland,0,1,1,1,0,0,0,0,0,1,0,1,1,1,2,0,1,1,1,0,0,1,1,1,0,0,0
Sweden,27,403,187,102,16,7,8,14,28,16,2,341,279,29,137,23,83,20,158,322,5,216,27,47,19,10,16
Switzerland,23,382,180,123,15,4,6,1,26,12,1,339,256,35,148,25,136,14,156,290,3,232,27,54,26,11,39
Syria,1,1,5,2,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,2,1,0,0,0,2
Tadjikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
Taiwan,1,48,12,16,2,1,0,0,1,2,0,40,32,5,33,7,14,1,22,37,0,23,6,2,1,1,39
Tanzania,0,11,1,0,0,0,0,0,0,0,0,12,10,0,3,1,8,0,5,10,0,7,0,1,1,0,0
Thailand,1,64,22,11,1,1,0,2,1,1,0,53,45,3,45,5,25,3,25,50,2,34,6,9,6,4,5
Togo,0,1,1,1,0,0,0,0,1,0,0,4,1,0,2,0,1,2,0,0,0,2,0,1,2,1,0
Trinidad and Tobago,0,1,1,1,0,0,0,0,1,0,0,4,1,0,2,0,1,2,0,0,0,2,0,1,2,1,0
Tunisia,5,32,11,11,1,0,0,0,2,1,0,30,27,2,21,3,20,3,9,29,0,19,4,1,4,1,3
Turkey,12,178,90,62,4,0,0,0,3,4,1,157,122,20,155,17,61,2,61,131,1,111,15,8,5,8,5
U.S. Minor Outlying Island,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,1,16,9,3,1,0,0,1,0,0,0,13,10,0,11,1,10,0,4,12,0,9,0,2,3,2,1
Ukarine,5,204,72,58,10,4,4,1,8,3,1,170,136,6,109,21,54,7,56,160,3,103,17,22,5,4,2
United Arab Emirates,1,50,17,6,2,0,0,0,2,1,0,45,39,2,43,8,21,0,10,41,0,29,5,8,8,4,3
United Kingdom,113,2944,1386,570,99,20,38,34,104,57,13,2526,2214,102,1010,181,888,139,1038,2463,32,1849,180,361,307,110,214
United States,418,7681,3100,1837,304,71,102,61,315,145,27,6812,5699,380,2549,655,1827,560,3348,6553,128,4589,692,832,611,233,404
Uruguay,2,46,29,13,1,0,0,0,3,6,0,49,38,0,21,3,11,2,16,41,0,30,3,3,5,3,0
Uzbekistan,2,12,5,4,2,1,0,0,1,0,0,12,8,0,14,1,3,0,2,8,1,10,2,1,0,0,0
Vatican City State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,3,41,13,13,3,1,0,0,0,0,0,38,31,2,13,3,20,3,14,34,1,29,2,3,3,6,3
Vietnam,2,55,20,20,3,2,1,1,1,1,1,47,38,2,59,4,14,2,15,42,2,18,5,6,3,4,4
Virgin Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Virgin Islands (USA),0,1,1,0,2,0,0,0,0,0,0,2,3,0,1,1,0,0,3,0,0,4,2,1,0,0,0
Yemen,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0
Zaire,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,2,1,0,3,0,0,2,1,0
Zimbabwe,0,8,5,3,0,0,0,1,0,0,0,7,5,0,10,0,3,0,4,5,0,8,0,0,1,1,0